,Model,Accuracy,Precision,Recall,F1,ROC_AUC,MCC,Specificity,CV,Repeat,target,target_id,feature,turner
77,lasso,0.4,0.5,0.6666666666666666,0.5714285714285714,0.0,-0.4082482904638631,0.0,Fold8,8,Project,ProjectA,False,True
78,lasso,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.6666666666666666,0.0,Fold9,8,Project,ProjectA,False,True
79,lasso,0.8,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,1.0,Fold10,8,Project,ProjectA,False,True
80,lasso,0.6,0.5,1.0,0.6666666666666666,0.5,0.4082482904638631,0.3333333333333333,Fold1,9,Project,ProjectA,False,True
81,lasso,0.2,0.25,0.5,0.3333333333333333,0.16666666666666669,-0.6123724356957946,0.0,Fold2,9,Project,ProjectA,False,True
82,lasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold3,9,Project,ProjectA,False,True
83,lasso,0.4,0.3333333333333333,0.5,0.4,0.5,-0.16666666666666666,0.3333333333333333,Fold4,9,Project,ProjectA,False,True
84,lasso,0.6,0.5,1.0,0.6666666666666666,0.6666666666666667,0.4082482904638631,0.3333333333333333,Fold5,9,Project,ProjectA,False,True
85,lasso,0.8,1.0,0.6666666666666666,0.8,0.8333333333333333,0.6666666666666666,1.0,Fold6,9,Project,ProjectA,False,True
86,lasso,0.8,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,1.0,Fold7,9,Project,ProjectA,False,True
87,lasso,0.4,0.5,0.3333333333333333,0.4,0.5,-0.16666666666666666,0.5,Fold8,9,Project,ProjectA,False,True
88,lasso,0.2,0.0,0.0,0.0,0.16666666666666666,-0.6123724356957946,0.5,Fold9,9,Project,ProjectA,False,True
89,lasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold10,9,Project,ProjectA,False,True
90,lasso,0.6,0.5,0.5,0.5,0.5,0.16666666666666666,0.6666666666666666,Fold1,10,Project,ProjectA,False,True
91,lasso,0.4,0.3333333333333333,0.5,0.4,0.33333333333333337,-0.16666666666666666,0.3333333333333333,Fold2,10,Project,ProjectA,False,True
92,lasso,0.8,0.6666666666666666,1.0,0.8,1.0,0.6666666666666666,0.6666666666666666,Fold3,10,Project,ProjectA,False,True
93,lasso,0.6,0.5,0.5,0.5,0.6666666666666667,0.16666666666666666,0.6666666666666666,Fold4,10,Project,ProjectA,False,True
94,lasso,0.2,0.0,0.0,0.0,0.33333333333333337,-0.6666666666666666,0.3333333333333333,Fold5,10,Project,ProjectA,False,True
95,lasso,0.2,0.0,0.0,0.0,0.5,-0.6123724356957946,0.5,Fold6,10,Project,ProjectA,False,True
96,lasso,0.6,0.6,1.0,0.75,0.0,0.0,0.0,Fold7,10,Project,ProjectA,False,True
97,lasso,0.4,1.0,0.0,0.0,1.0,0.0,1.0,Fold8,10,Project,ProjectA,False,True
98,lasso,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.5,Fold9,10,Project,ProjectA,False,True
99,lasso,0.2,0.0,0.0,0.0,0.5,-0.6123724356957946,0.5,Fold10,10,Project,ProjectA,False,True
100,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold1,1,Project,ProjectA,False,True
101,LogisticRegression,0.6,0.5,0.5,0.5,0.6666666666666667,0.16666666666666666,0.6666666666666666,Fold2,1,Project,ProjectA,False,True
102,LogisticRegression,0.6,0.5,1.0,0.6666666666666666,0.8333333333333334,0.4082482904638631,0.3333333333333333,Fold3,1,Project,ProjectA,False,True
103,LogisticRegression,0.4,0.3333333333333333,0.5,0.4,0.5,-0.16666666666666666,0.3333333333333333,Fold4,1,Project,ProjectA,False,True
